file_path,title,url,pub_date,source,tags
./rag_data/Cancer Drug Approval Endpoints- FDA Guidance.pdf,Cancer Drug Approval Endpoints – FDA Guidance,https://www.fda.gov/media/71195/download,2015-06-01,FDA,"oncology,endpoints,regulatory,guidance"
./rag_data/Clinical Development Success Rates 2011–2020- BIO_QLS Advisors Report.pdf,Clinical Development Success Rates 2011–2020 BIO QLS Advisors Report,https://bio.org/sites/default/files/2021-02/BIO%20Clinical%20Development%20Success%20Rates%202011-2020.pdf,2021-02-01,BIO,"success_rates,oncology,drug_development,statistics"
"./rag_data/Clinical endpoints in oncology ‑ a primer (Delgado & Guddati, 2021).pdf",Clinical Endpoints in Oncology – A Primer,https://pmc.ncbi.nlm.nih.gov/articles/PMC8085844/,2021-04-30,PMC,"endpoints,oncology,primer,review"
"./rag_data/Clinical trial design and drug approval in oncology (Kurtin et al., 2020).pdf",Clinical Trial Design and Drug Approval in Oncology,https://doi.org/10.6004/jadpro.2020.11.7.7,2020-09-01,JADPRO,"trial_design,oncology,FDA,endpoints"
./rag_data/Factors Affecting Success of New Drug Clinical Trials (2023).pdf,Enrollment Success Factors and Prediction Models in Cancer Trials (2008–2019),https://doi.org/10.1200/OP.23.00147,2023-10-04,ASCO,"enrollment,success,modeling,clinical_trials"
"./rag_data/Estimation of clinical trial success rates and related parameters (Wong, Siah & Lo, 2019).pdf",Estimation of Clinical Trial Success Rates and Related Parameters,https://doi.org/10.1093/biostatistics/kxx069,2018-01-01,MIT_OUP,"success_rates,biostatistics,drug_development,phases"
"./rag_data/Enrollment Success, Factors, and Prediction Models in Cancer Trials (2008‑2019).pdf",Factors Affecting Success of New Drug Clinical Trials,https://doi.org/10.1007/s43441-023-00509-1,2023-02-24,Therapeutic_Innovation_Regulatory_Science,"success_factors,clinical_trials,biopharma,analysis"
rag_data/ema_missing_data_guideline.pdf,Guideline on Missing Data in Confirmatory Clinical Trials,https://www.ema.europa.eu/en/documents/scientific-guideline/guideline-missing-data-confirmatory-clinical-trials_en.pdf,2010-06-01,EMA,"missing-data,statistics"
rag_data/ich_e9_statistical_principles.pdf,ICH E9: Statistical Principles for Clinical Trials,https://database.ich.org/sites/default/files/E9_Guideline.pdf,1998-09-01,ICH,"statistics,ich,e9"
rag_data/ich_e10_choice_of_control.pdf,ICH E10: Choice of Control Group and Related Issues,https://database.ich.org/sites/default/files/E10_Guideline.pdf,2000-07-01,ICH,"control-group,design,ich,e10"
rag_data/recist_1_1_guidelines.pdf,RECIST 1.1: Response Evaluation Criteria in Solid Tumors (Guidelines),https://project.eortc.org/recist/wp-content/uploads/sites/4/2015/03/RECISTGuidelines.pdf,2009-01-01,EORTC,"recist,response,criteria"
rag_data/irecist_guideline.pdf,iRECIST: guidelines for response criteria for use in trials testing immunotherapeutics,https://recist.eortc.org/recist/wp-content/uploads/sites/4/2017/03/Manuscript_IRECIST_Lancet-Oncology_Seymour-et-al_revision_FINAL_clean_nov25.pdf,2017-03-01,EORTC,"irecist,immunotherapy,response"
rag_data/fda_oncology_endpoints_guidance.pdf,Clinical Trial Endpoints for the Approval of Cancer Drugs and Biologics,https://www.fda.gov/media/71195/download,2015-06-01,FDA,"endpoints,regulatory,oncology"
rag_data/fda_bicr_structural_doc.pdf,FDA Staff Manual (contains BICR organizational info),https://www.fda.gov/media/89514/download,2016-01-01,FDA,"bicr,organization"
rag_data/fda_non_inferiority_trials.pdf,Non-Inferiority Clinical Trials to Establish Effectiveness,https://www.fda.gov/media/78504/download,2010-11-01,FDA,"non-inferiority,design,statistics"
